Model,roc_auc,brier_score,log_loss,accuracy,precision,recall,f1_score,threshold
LightGBM,0.539229109506939,0.2453903286619638,0.6838592967235542,0.563076923076923,0.5347593582887701,0.11560693641618497,0.19011406844106463,0.5
LSTM/GRU,0.545339761860366,0.2454277458322516,0.6839796983733348,0.5584615384615385,0.5064102564102564,0.18265895953757225,0.26847918436703483,0.5
Ensemble (Track B),0.546768599664367,0.24523368008273044,0.6835725115580035,0.5574358974358974,0.5035971223021583,0.16184971098265896,0.24496937882764655,0.5
