Model,Total Return (%),Excess Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Trades
Buy & Hold (Benchmark),-0.3993944762283763,0.0,0.12997706045617716,-31.087313217929662,0.0,0
LightGBM,1.6348772664679379,2.034271742696314,0.25845785391235265,-3.721633600911297,61.53846153846154,72
LSTM/GRU,20.557683812768634,20.95707828899701,1.2189331664240044,-8.548247618713788,52.742616033755276,200
Ensemble (Track B),22.216489204726496,22.615883680954873,1.3661985187391301,-7.8615072520140705,54.460093896713616,180
