model,roc_auc,brier_score,log_loss,accuracy,precision,recall,f1_score,threshold
logistic_regression,0.553809,0.244711,0.682562,0.571795,0.552083,0.183815,0.275802,0.5
random_forest,0.552377,0.245213,0.683656,0.567692,0.531073,0.217341,0.30845,0.5
Ensemble (Track B),0.5425943680977238,0.245746067284671,0.6846175527199074,0.5558510638297872,0.5034722222222222,0.1732377538829151,0.2577777777777778,0.5
LSTM/GRU,0.5421419006610606,0.2458175268584181,0.6847679827249089,0.5553191489361702,0.5016722408026756,0.1792114695340501,0.2640845070422535,0.5
LightGBM,0.5345141015199469,0.2458176099212404,0.6847171781444249,0.5601063829787234,0.5277777777777778,0.1135005973715651,0.1868239921337266,0.5
xgboost,0.527772,0.246382,0.686037,0.564615,0.523121,0.209249,0.298927,0.5
