Model,Total Return (%),Excess Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Trades
Buy & Hold (Benchmark),-0.3993944762283763,0.0,0.12997706045617716,-31.087313217929662,0.0,0
Logistic Regression,18.248844376150597,18.648238852378974,1.2671600101730789,-6.403470400788989,55.757575757575765,94
Random Forest,11.886526963136813,12.285921439365188,1.1399644912756688,-5.202857942750167,48.803827751196174,116
XGBoost,14.702847796373275,15.102242272601652,1.373396102171778,-5.0060777155953895,51.39664804469274,122
