ticker,status,total_rows,first_date,last_date,output_file,collected_at
BBCA.JK,SUCCESS,2125,2018-01-01,2026-09-01,../data/raw\BBCA_JK_raw.csv,2026-09-02T15:41:25.097682
BBRI.JK,SUCCESS,2125,2018-01-01,2026-09-01,../data/raw\BBRI_JK_raw.csv,2026-09-02T15:41:25.326311
BMRI.JK,SUCCESS,2125,2018-01-01,2026-09-01,../data/raw\BMRI_JK_raw.csv,2026-09-02T15:41:25.553999
TLKM.JK,SUCCESS,2124,2018-01-01,2026-09-01,../data/raw\TLKM_JK_raw.csv,2026-09-02T15:41:25.808684
ASII.JK,SUCCESS,2124,2018-01-01,2026-09-01,../data/raw\ASII_JK_raw.csv,2026-09-02T15:41:26.023075
