Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2018-05-23,3573.766357421875,4400.0,4470.0,4400.0,4420.0,79515500,BBCA.JK
2018-05-24,3646.865966796875,4490.0,4525.0,4455.0,4460.0,77697000,BBCA.JK
2018-05-25,3663.1103515625,4510.0,4535.0,4475.0,4485.0,63913500,BBCA.JK
2018-05-28,3711.843505859375,4570.0,4600.0,4480.0,4500.0,64104500,BBCA.JK
2018-05-29,3711.843505859375,4570.0,4570.0,4570.0,4570.0,0,BBCA.JK
2018-05-30,3687.4775390625,4540.0,4595.0,4490.0,4570.0,109761500,BBCA.JK
2018-05-31,3687.4775390625,4540.0,4590.0,4490.0,4575.0,178023000,BBCA.JK
2018-06-01,3687.4775390625,4540.0,4540.0,4540.0,4540.0,0,BBCA.JK
2018-06-04,3724.02685546875,4585.0,4595.0,4560.0,4590.0,89585000,BBCA.JK
2018-06-05,3691.538330078125,4545.0,4585.0,4480.0,4560.0,77233000,BBCA.JK
2018-06-06,3740.271240234375,4605.0,4630.0,4525.0,4545.0,57913500,BBCA.JK
2018-06-07,3732.148681640625,4595.0,4630.0,4580.0,4630.0,40681500,BBCA.JK
2018-06-08,3614.37744140625,4450.0,4600.0,4420.0,4570.0,170845000,BBCA.JK
2018-06-11,3614.37744140625,4450.0,4450.0,4450.0,4450.0,0,BBCA.JK
2018-06-12,3614.37744140625,4450.0,4450.0,4450.0,4450.0,0,BBCA.JK
2018-06-13,3614.37744140625,4450.0,4450.0,4450.0,4450.0,0,BBCA.JK
2018-06-14,3614.37744140625,4450.0,4450.0,4450.0,4450.0,0,BBCA.JK
2018-06-15,3614.37744140625,4450.0,4450.0,4450.0,4450.0,0,BBCA.JK
2018-06-18,3614.37744140625,4450.0,4450.0,4450.0,4450.0,0,BBCA.JK
2018-06-19,3614.37744140625,4450.0,4450.0,4450.0,4450.0,0,BBCA.JK
2018-06-20,3492.54443359375,4300.0,4405.0,4230.0,4400.0,253439000,BBCA.JK
2018-06-21,3435.68896484375,4230.0,4390.0,4230.0,4325.0,90593500,BBCA.JK
2018-06-22,3561.58251953125,4385.0,4385.0,4220.0,4280.0,96509500,BBCA.JK
2018-06-25,3606.2548828125,4440.0,4495.0,4365.0,4385.0,62513000,BBCA.JK
2018-06-26,3472.23876953125,4275.0,4460.0,4275.0,4420.0,54763500,BBCA.JK
2018-06-27,3468.177734375,4270.0,4340.0,4270.0,4280.0,67309500,BBCA.JK
2018-06-28,3403.19970703125,4190.0,4275.0,4185.0,4275.0,118098500,BBCA.JK
2018-06-29,3488.483154296875,4295.0,4295.0,4165.0,4190.0,119188000,BBCA.JK
2018-07-02,3484.42236328125,4290.0,4330.0,4285.0,4330.0,59441500,BBCA.JK
2018-07-03,3346.3447265625,4120.0,4325.0,4120.0,4320.0,73038000,BBCA.JK
2018-07-04,3447.872314453125,4245.0,4280.0,4140.0,4195.0,61994500,BBCA.JK
2018-07-05,3447.872314453125,4245.0,4260.0,4200.0,4210.0,34144000,BBCA.JK
2018-07-06,3399.139404296875,4185.0,4210.0,4185.0,4195.0,37609000,BBCA.JK
2018-07-09,3557.522216796875,4380.0,4400.0,4215.0,4240.0,80049500,BBCA.JK
2018-07-10,3557.522216796875,4380.0,4400.0,4280.0,4370.0,116639500,BBCA.JK
2018-07-11,3626.560791015625,4465.0,4490.0,4300.0,4300.0,95570000,BBCA.JK
2018-07-12,3707.782470703125,4565.0,4580.0,4435.0,4440.0,79008000,BBCA.JK
2018-07-13,3740.271240234375,4605.0,4615.0,4560.0,4600.0,73936000,BBCA.JK
2018-07-16,3756.516357421875,4625.0,4625.0,4580.0,4610.0,71571000,BBCA.JK
2018-07-17,3691.538330078125,4545.0,4600.0,4505.0,4585.0,30322000,BBCA.JK
2018-07-18,3768.698974609375,4640.0,4640.0,4590.0,4590.0,80090500,BBCA.JK
