Date,Adj Close,Close,High,Low,Open,Volume,Ticker
2018-06-06,2308.2236328125,3662.5,3687.5,3650.0,3650.0,72158600,BMRI.JK
2018-06-07,2323.9794921875,3687.5,3700.0,3662.5,3687.5,49787600,BMRI.JK
2018-06-08,2190.05517578125,3475.0,3700.0,3475.0,3700.0,134418800,BMRI.JK
2018-06-11,2190.05517578125,3475.0,3475.0,3475.0,3475.0,0,BMRI.JK
2018-06-12,2190.05517578125,3475.0,3475.0,3475.0,3475.0,0,BMRI.JK
2018-06-13,2190.05517578125,3475.0,3475.0,3475.0,3475.0,0,BMRI.JK
2018-06-14,2190.05517578125,3475.0,3475.0,3475.0,3475.0,0,BMRI.JK
2018-06-15,2190.05517578125,3475.0,3475.0,3475.0,3475.0,0,BMRI.JK
2018-06-18,2190.05517578125,3475.0,3475.0,3475.0,3475.0,0,BMRI.JK
2018-06-19,2190.05517578125,3475.0,3475.0,3475.0,3475.0,0,BMRI.JK
2018-06-20,2111.2763671875,3350.0,3425.0,3250.0,3425.0,170142400,BMRI.JK
2018-06-21,2111.2763671875,3350.0,3387.5,3287.5,3350.0,109648600,BMRI.JK
2018-06-22,2111.2763671875,3350.0,3362.5,3300.0,3350.0,90954000,BMRI.JK
2018-06-25,2111.2763671875,3350.0,3387.5,3287.5,3375.0,59331600,BMRI.JK
2018-06-26,2087.64208984375,3312.5,3375.0,3287.5,3287.5,55935600,BMRI.JK
2018-06-27,2079.764404296875,3300.0,3350.0,3300.0,3325.0,51148600,BMRI.JK
2018-06-28,2048.252685546875,3250.0,3362.5,3212.5,3362.5,109565000,BMRI.JK
2018-06-29,2158.543212890625,3425.0,3425.0,3300.0,3375.0,82868000,BMRI.JK
2018-07-02,2056.13037109375,3262.5,3487.5,3262.5,3487.5,55579800,BMRI.JK
2018-07-03,1993.1077880859375,3162.5,3287.5,3162.5,3237.5,74286400,BMRI.JK
2018-07-04,2079.764404296875,3300.0,3312.5,3137.5,3200.0,54066400,BMRI.JK
2018-07-05,2056.13037109375,3262.5,3300.0,3175.0,3250.0,49814600,BMRI.JK
2018-07-06,1985.229736328125,3150.0,3237.5,3150.0,3200.0,51696400,BMRI.JK
2018-07-09,2024.619140625,3212.5,3262.5,3150.0,3175.0,111683800,BMRI.JK
2018-07-10,2032.4974365234375,3225.0,3287.5,3187.5,3250.0,87662000,BMRI.JK
2018-07-11,2000.9853515625,3175.0,3187.5,3125.0,3150.0,71600600,BMRI.JK
2018-07-12,2032.4974365234375,3225.0,3225.0,3150.0,3150.0,69482600,BMRI.JK
2018-07-13,2079.764404296875,3300.0,3325.0,3212.5,3212.5,71123600,BMRI.JK
2018-07-16,2064.0087890625,3275.0,3312.5,3187.5,3275.0,57879600,BMRI.JK
2018-07-17,1993.1077880859375,3162.5,3237.5,3150.0,3225.0,84860000,BMRI.JK
2018-07-18,2016.7413330078125,3200.0,3212.5,3150.0,3162.5,46293000,BMRI.JK
2018-07-19,2008.86328125,3187.5,3262.5,3187.5,3212.5,69942000,BMRI.JK
2018-07-20,2000.9853515625,3175.0,3225.0,3137.5,3212.5,101994800,BMRI.JK
2018-07-23,2016.7413330078125,3200.0,3287.5,3187.5,3200.0,80140200,BMRI.JK
2018-07-24,2056.13037109375,3262.5,3262.5,3200.0,3250.0,38980400,BMRI.JK
2018-07-25,2040.375244140625,3237.5,3275.0,3225.0,3275.0,62149400,BMRI.JK
2018-07-26,2064.0087890625,3275.0,3275.0,3237.5,3250.0,57947800,BMRI.JK
2018-07-27,2071.886474609375,3287.5,3287.5,3250.0,3287.5,35688800,BMRI.JK
2018-07-30,2119.15380859375,3362.5,3362.5,3275.0,3287.5,54608200,BMRI.JK
2018-07-31,2095.520263671875,3325.0,3362.5,3287.5,3362.5,66929400,BMRI.JK
2018-08-01,2205.810791015625,3500.0,3500.0,3337.5,3350.0,110824000,BMRI.JK
2018-08-02,2221.56640625,3525.0,3587.5,3462.5,3500.0,61392400,BMRI.JK
2018-08-03,2268.833984375,3600.0,3612.5,3500.0,3500.0,63550400,BMRI.JK
2018-08-06,2300.34521484375,3650.0,3712.5,3600.0,3612.5,102478600,BMRI.JK
2018-08-07,2268.833984375,3600.0,3712.5,3600.0,3650.0,102967800,BMRI.JK
2018-08-08,2308.2236328125,3662.5,3662.5,3550.0,3612.5,48967400,BMRI.JK
2018-08-09,2292.468017578125,3637.5,3675.0,3600.0,3600.0,28914800,BMRI.JK
2018-08-10,2316.101318359375,3675.0,3712.5,3650.0,3662.5,36267800,BMRI.JK
2018-08-13,2182.177001953125,3462.5,3625.0,3425.0,3600.0,82658400,BMRI.JK
2018-08-14,2119.15380859375,3362.5,3450.0,3350.0,3437.5,122915000,BMRI.JK
2018-08-15,2142.78759765625,3400.0,3412.5,3262.5,3375.0,82042800,BMRI.JK
2018-08-16,2111.2763671875,3350.0,3387.5,3300.0,3375.0,42463600,BMRI.JK
2018-08-17,2111.2763671875,3350.0,3350.0,3350.0,3350.0,0,BMRI.JK
2018-08-20,2119.15380859375,3362.5,3475.0,3350.0,3475.0,81139200,BMRI.JK
2018-08-21,2111.2763671875,3350.0,3387.5,3337.5,3375.0,62399200,BMRI.JK
2018-08-22,2111.2763671875,3350.0,3350.0,3350.0,3350.0,0,BMRI.JK
2018-08-23,2158.543212890625,3425.0,3425.0,3350.0,3400.0,98059800,BMRI.JK
2018-08-24,2134.909912109375,3387.5,3425.0,3375.0,3400.0,75683200,BMRI.JK
2018-08-27,2197.9326171875,3487.5,3487.5,3387.5,3412.5,84503200,BMRI.JK
2018-08-28,2205.810791015625,3500.0,3512.5,3450.0,3500.0,80591200,BMRI.JK
2018-08-29,2205.810791015625,3500.0,3512.5,3462.5,3487.5,55272600,BMRI.JK
2018-08-30,2158.543212890625,3425.0,3512.5,3400.0,3500.0,52753200,BMRI.JK
2018-08-31,2174.299072265625,3450.0,3450.0,3337.5,3350.0,110408200,BMRI.JK
2018-09-03,2111.2763671875,3350.0,3450.0,3350.0,3450.0,55590200,BMRI.JK
2018-09-04,2071.886474609375,3287.5,3375.0,3225.0,3362.5,59803000,BMRI.JK
2018-09-05,1993.1077880859375,3162.5,3262.5,3100.0,3250.0,83838600,BMRI.JK
2018-09-06,2064.0087890625,3275.0,3275.0,3100.0,3100.0,96306200,BMRI.JK
2018-09-07,2087.64208984375,3312.5,3325.0,3225.0,3250.0,75525400,BMRI.JK
2018-09-10,2071.886474609375,3287.5,3300.0,3212.5,3250.0,37301800,BMRI.JK
2018-09-11,2071.886474609375,3287.5,3287.5,3287.5,3287.5,0,BMRI.JK
2018-09-12,2008.86328125,3187.5,3312.5,3187.5,3287.5,46357000,BMRI.JK
2018-09-13,2071.886474609375,3287.5,3312.5,3225.0,3237.5,36668600,BMRI.JK
2018-09-14,2127.03173828125,3375.0,3375.0,3300.0,3337.5,30656000,BMRI.JK
2018-09-17,2032.4974365234375,3225.0,3337.5,3212.5,3325.0,88368200,BMRI.JK
2018-09-18,2008.86328125,3187.5,3262.5,3162.5,3225.0,101172800,BMRI.JK
2018-09-19,2016.7413330078125,3200.0,3225.0,3187.5,3225.0,42616400,BMRI.JK
2018-09-20,2103.39794921875,3337.5,3337.5,3212.5,3212.5,99827000,BMRI.JK
2018-09-21,2158.543212890625,3425.0,3475.0,3362.5,3375.0,124841800,BMRI.JK
2018-09-24,2127.03173828125,3375.0,3450.0,3337.5,3425.0,81188200,BMRI.JK
2018-09-25,2087.64208984375,3312.5,3375.0,3262.5,3337.5,46091400,BMRI.JK
2018-09-26,2079.764404296875,3300.0,3362.5,3287.5,3287.5,32016600,BMRI.JK
2018-09-27,2087.64208984375,3312.5,3362.5,3275.0,3300.0,82349800,BMRI.JK
2018-09-28,2119.15380859375,3362.5,3375.0,3300.0,3300.0,101686800,BMRI.JK
2018-10-01,2111.2763671875,3350.0,3400.0,3300.0,3300.0,66513400,BMRI.JK
2018-10-02,2032.4974365234375,3225.0,3350.0,3212.5,3350.0,120652800,BMRI.JK
2018-10-03,2048.252685546875,3250.0,3287.5,3200.0,3200.0,68383400,BMRI.JK
2018-10-04,1961.595947265625,3112.5,3212.5,3112.5,3200.0,116478400,BMRI.JK
2018-10-05,1977.3516845703125,3137.5,3175.0,3087.5,3112.5,67792400,BMRI.JK
2018-10-08,1953.718017578125,3100.0,3150.0,3100.0,3137.5,55327600,BMRI.JK
2018-10-09,2000.9853515625,3175.0,3187.5,3100.0,3100.0,40331400,BMRI.JK
2018-10-10,2040.375244140625,3237.5,3262.5,3187.5,3200.0,39230800,BMRI.JK
2018-10-11,1977.3516845703125,3137.5,3175.0,3100.0,3125.0,64054000,BMRI.JK
2018-10-12,2016.7413330078125,3200.0,3237.5,3137.5,3137.5,70448200,BMRI.JK
2018-10-15,2008.86328125,3187.5,3262.5,3187.5,3250.0,40880400,BMRI.JK
2018-10-16,2048.252685546875,3250.0,3250.0,3200.0,3200.0,29777600,BMRI.JK
2018-10-17,2071.886474609375,3287.5,3325.0,3262.5,3300.0,43108000,BMRI.JK
2018-10-18,2048.252685546875,3250.0,3300.0,3200.0,3250.0,39270000,BMRI.JK
2018-10-19,2032.4974365234375,3225.0,3250.0,3187.5,3225.0,47990000,BMRI.JK
2018-10-22,2032.4974365234375,3225.0,3262.5,3187.5,3225.0,36415600,BMRI.JK
2018-10-23,2024.619140625,3212.5,3237.5,3212.5,3225.0,25707400,BMRI.JK
2018-10-24,1993.1077880859375,3162.5,3237.5,3162.5,3212.5,33969400,BMRI.JK
2018-10-25,2040.375244140625,3237.5,3237.5,3125.0,3125.0,62781600,BMRI.JK
2018-10-26,2032.4974365234375,3225.0,3250.0,3200.0,3237.5,39723200,BMRI.JK
2018-10-29,2016.7413330078125,3200.0,3250.0,3200.0,3212.5,40472000,BMRI.JK
2018-10-30,2056.13037109375,3262.5,3262.5,3212.5,3250.0,34731200,BMRI.JK
2018-10-31,2158.543212890625,3425.0,3425.0,3275.0,3287.5,111265400,BMRI.JK
2018-11-01,2276.7119140625,3612.5,3675.0,3437.5,3450.0,185151800,BMRI.JK
2018-11-02,2339.73486328125,3712.5,3750.0,3550.0,3662.5,143785200,BMRI.JK
2018-11-05,2323.9794921875,3687.5,3700.0,3625.0,3700.0,56013400,BMRI.JK
2018-11-06,2316.101318359375,3675.0,3737.5,3625.0,3737.5,124000800,BMRI.JK
2018-11-07,2316.101318359375,3675.0,3700.0,3600.0,3687.5,92281000,BMRI.JK
2018-11-08,2363.36865234375,3750.0,3762.5,3687.5,3700.0,130444200,BMRI.JK
2018-11-09,2276.7119140625,3612.5,3662.5,3575.0,3625.0,123465600,BMRI.JK
2018-11-12,2197.9326171875,3487.5,3612.5,3487.5,3612.5,65689800,BMRI.JK
2018-11-13,2253.078369140625,3575.0,3587.5,3400.0,3400.0,85750000,BMRI.JK
2018-11-14,2245.199951171875,3562.5,3650.0,3562.5,3637.5,68203400,BMRI.JK
2018-11-15,2331.857421875,3700.0,3725.0,3575.0,3625.0,115193000,BMRI.JK
2018-11-16,2347.612548828125,3725.0,3812.5,3687.5,3737.5,113146000,BMRI.JK
2018-11-19,2355.49072265625,3737.5,3787.5,3650.0,3750.0,52926800,BMRI.JK
2018-11-20,2355.49072265625,3737.5,3737.5,3737.5,3737.5,0,BMRI.JK
2018-11-21,2292.468017578125,3637.5,3662.5,3525.0,3612.5,121808800,BMRI.JK
2018-11-22,2308.2236328125,3662.5,3700.0,3587.5,3637.5,89601400,BMRI.JK
2018-11-23,2300.34521484375,3650.0,3700.0,3637.5,3675.0,82350000,BMRI.JK
2018-11-26,2323.9794921875,3687.5,3700.0,3625.0,3625.0,62934800,BMRI.JK
2018-11-27,2347.612548828125,3725.0,3750.0,3675.0,3687.5,61028800,BMRI.JK
2018-11-28,2331.857421875,3700.0,3750.0,3662.5,3750.0,67675000,BMRI.JK
2018-11-29,2410.63623046875,3825.0,3825.0,3750.0,3750.0,141202600,BMRI.JK
2018-11-30,2331.857421875,3700.0,3812.5,3700.0,3787.5,148482800,BMRI.JK
2018-12-03,2394.880126953125,3800.0,3862.5,3775.0,3775.0,136684600,BMRI.JK
2018-12-04,2410.63623046875,3825.0,3825.0,3775.0,3787.5,60153200,BMRI.JK
2018-12-05,2387.002197265625,3787.5,3800.0,3762.5,3800.0,73322400,BMRI.JK
2018-12-06,2355.49072265625,3737.5,3762.5,3700.0,3700.0,74092000,BMRI.JK
2018-12-07,2363.36865234375,3750.0,3812.5,3737.5,3787.5,41692800,BMRI.JK
2018-12-10,2339.73486328125,3712.5,3762.5,3675.0,3687.5,41105200,BMRI.JK
2018-12-11,2347.612548828125,3725.0,3737.5,3700.0,3725.0,55657400,BMRI.JK
2018-12-12,2355.49072265625,3737.5,3775.0,3712.5,3737.5,80631400,BMRI.JK
2018-12-13,2426.3916015625,3850.0,3850.0,3725.0,3750.0,92920000,BMRI.JK
2018-12-14,2387.002197265625,3787.5,3825.0,3762.5,3825.0,68756400,BMRI.JK
2018-12-17,2331.857421875,3700.0,3787.5,3700.0,3725.0,78685000,BMRI.JK
2018-12-18,2316.101318359375,3675.0,3675.0,3625.0,3625.0,98608800,BMRI.JK
2018-12-19,2339.73486328125,3712.5,3737.5,3675.0,3675.0,89550000,BMRI.JK
2018-12-20,2300.34521484375,3650.0,3712.5,3637.5,3712.5,61216000,BMRI.JK
2018-12-21,2276.7119140625,3612.5,3650.0,3587.5,3625.0,98207400,BMRI.JK
2018-12-24,2276.7119140625,3612.5,3612.5,3612.5,3612.5,0,BMRI.JK
2018-12-25,2276.7119140625,3612.5,3612.5,3612.5,3612.5,0,BMRI.JK
2018-12-26,2276.7119140625,3612.5,3625.0,3550.0,3575.0,52356800,BMRI.JK
2018-12-27,2292.468017578125,3637.5,3675.0,3625.0,3662.5,48514400,BMRI.JK
2018-12-28,2323.9794921875,3687.5,3725.0,3662.5,3675.0,97081600,BMRI.JK
2018-12-31,2323.9794921875,3687.5,3687.5,3687.5,3687.5,0,BMRI.JK
2019-01-01,2323.9794921875,3687.5,3687.5,3687.5,3687.5,0,BMRI.JK
2019-01-02,2308.2236328125,3662.5,3700.0,3625.0,3700.0,45319200,BMRI.JK
2019-01-03,2260.955810546875,3587.5,3675.0,3550.0,3637.5,74174000,BMRI.JK
2019-01-04,2347.612548828125,3725.0,3725.0,3575.0,3587.5,78514000,BMRI.JK
2019-01-07,2339.73486328125,3712.5,3787.5,3712.5,3750.0,53624800,BMRI.JK
2019-01-08,2316.101318359375,3675.0,3737.5,3675.0,3712.5,80073200,BMRI.JK
2019-01-09,2387.002197265625,3787.5,3787.5,3700.0,3750.0,104903400,BMRI.JK
2019-01-10,2426.3916015625,3850.0,3850.0,3775.0,3812.5,130603200,BMRI.JK
2019-01-11,2426.3916015625,3850.0,3900.0,3837.5,3875.0,88899400,BMRI.JK
2019-01-14,2426.3916015625,3850.0,3875.0,3825.0,3875.0,71320000,BMRI.JK
2019-01-15,2457.9033203125,3900.0,3900.0,3825.0,3875.0,86697200,BMRI.JK
