date,open,high,low,close,adj_close,volume,ticker,adj_factor
2018-01-02,3987.5,4025.0,3912.5,3925.0,2410.541015625,59351600,BMRI.JK,0.6141505772292993
2018-01-03,3925.0,3925.0,3825.0,3850.0,2364.4794921875,84278000,BMRI.JK,0.6141505174512987
2018-01-04,3875.0,3912.5,3862.5,3912.5,2402.8642578125,90123000,BMRI.JK,0.6141506090255591
2018-01-05,3862.5,3925.0,3862.5,3912.5,2402.8642578125,75378600,BMRI.JK,0.6141506090255591
2018-01-08,3937.5,3975.0,3912.5,3962.5,2433.57177734375,73784000,BMRI.JK,0.6141506062697161
2018-01-09,3987.5,4000.0,3887.5,3950.0,2425.894775390625,67352000,BMRI.JK,0.6141505760482595
2018-01-10,3962.5,3962.5,3900.0,3950.0,2425.894775390625,68746400,BMRI.JK,0.6141505760482595
2018-01-11,3962.5,4037.5,3962.5,4037.5,2479.6328125,89346200,BMRI.JK,0.6141505417956656
2018-01-12,4037.5,4125.0,4000.0,4050.0,2487.31005859375,84306400,BMRI.JK,0.6141506317515432
2018-01-15,4075.0,4100.0,4025.0,4100.0,2518.017578125,38412200,BMRI.JK,0.6141506288109756
2018-01-16,4075.0,4150.0,4075.0,4112.5,2525.6943359375,46720000,BMRI.JK,0.6141505984042553
2018-01-17,4112.5,4112.5,4012.5,4050.0,2487.31005859375,56945400,BMRI.JK,0.6141506317515432
2018-01-18,4075.0,4087.5,4025.0,4062.5,2494.986572265625,53685800,BMRI.JK,0.6141505408653846
2018-01-19,4087.5,4087.5,4025.0,4037.5,2479.6328125,50158600,BMRI.JK,0.6141505417956656
2018-01-22,4075.0,4075.0,4025.0,4037.5,2479.6328125,91243800,BMRI.JK,0.6141505417956656
2018-01-23,4087.5,4087.5,4037.5,4087.5,2510.340576171875,111192600,BMRI.JK,0.6141505996750765
2018-01-24,4100.0,4125.0,4075.0,4125.0,2533.37158203125,84633200,BMRI.JK,0.6141506865530303
2018-01-25,4125.0,4137.5,4037.5,4075.0,2502.663818359375,65155800,BMRI.JK,0.6141506302722393
2018-01-26,4100.0,4125.0,4062.5,4100.0,2518.017578125,69599800,BMRI.JK,0.6141506288109756
