date,open,high,low,close,adj_close,volume,ticker,adj_factor
2018-01-02,4380.0,4505.0,4365.0,4380.0,3530.62939453125,82303500,BBCA.JK,0.8060797704409246
2018-01-03,4385.0,4390.0,4265.0,4380.0,3530.62939453125,68214000,BBCA.JK,0.8060797704409246
2018-01-04,4380.0,4445.0,4380.0,4445.0,3583.024169921875,76567000,BBCA.JK,0.8060796782726378
2018-01-05,4460.0,4480.0,4435.0,4450.0,3587.054931640625,65268000,BBCA.JK,0.8060797599192415
2018-01-08,4450.0,4515.0,4445.0,4470.0,3603.176513671875,57928000,BBCA.JK,0.8060797569735738
2018-01-09,4500.0,4510.0,4490.0,4505.0,3631.389404296875,61213000,BBCA.JK,0.8060797789782187
2018-01-10,4505.0,4545.0,4465.0,4490.0,3619.297607421875,47292000,BBCA.JK,0.8060796453055401
2018-01-11,4490.0,4540.0,4460.0,4540.0,3659.602783203125,57569000,BBCA.JK,0.8060799081945209
2018-01-12,4540.0,4545.0,4465.0,4485.0,3615.267333984375,66590500,BBCA.JK,0.8060796731291806
2018-01-15,4490.0,4500.0,4460.0,4495.0,3623.32861328125,41875000,BBCA.JK,0.8060797804852614
2018-01-16,4490.0,4535.0,4490.0,4520.0,3643.47998046875,50055000,BBCA.JK,0.8060796416966262
2018-01-17,4540.0,4540.0,4430.0,4430.0,3570.932861328125,183003000,BBCA.JK,0.8060796526700057
2018-01-18,4450.0,4520.0,4450.0,4515.0,3639.4501953125,84980500,BBCA.JK,0.8060797774778516
2018-01-19,4525.0,4530.0,4480.0,4490.0,3619.297607421875,50450500,BBCA.JK,0.8060796453055401
2018-01-22,4510.0,4515.0,4485.0,4495.0,3623.32861328125,81367500,BBCA.JK,0.8060797804852614
2018-01-23,4530.0,4540.0,4505.0,4530.0,3651.541015625,68752000,BBCA.JK,0.8060796943984547
2018-01-24,4525.0,4525.0,4500.0,4515.0,3639.4501953125,94254500,BBCA.JK,0.8060797774778516
2018-01-25,4510.0,4530.0,4490.0,4515.0,3639.4501953125,53653500,BBCA.JK,0.8060797774778516
