date,open,high,low,close,adj_close,volume,ticker,adj_factor,forward_return_1d,target
2018-01-02,8300.0,8400.0,8150.0,8200.0,4977.8427734375,24661300,ASII.JK,0.6070539967606707,-0.01829288030492937,0
2018-01-03,8250.0,8250.0,8000.0,8050.0,4886.78369140625,40976100,ASII.JK,0.607053874708851,0.021739319411522517,1
2018-01-04,8075.0,8225.0,8050.0,8225.0,4993.01904296875,30604400,ASII.JK,0.607053986987082,0.009118590672934745,1
2018-01-05,8150.0,8300.0,8125.0,8300.0,5038.54833984375,18885300,ASII.JK,0.6070540168486446,0.0,0
2018-01-08,8300.0,8325.0,8200.0,8300.0,5038.54833984375,17178400,ASII.JK,0.6070540168486446,-0.015060451420091603,0
2018-01-09,8300.0,8300.0,8150.0,8175.0,4962.66552734375,23323800,ASII.JK,0.6070538871368502,0.01223274688078635,1
2018-01-10,8275.0,8300.0,8175.0,8275.0,5023.37255859375,29616100,ASII.JK,0.6070540856306647,-0.003021325994980284,0
2018-01-11,8275.0,8275.0,8125.0,8250.0,5008.1953125,19294700,ASII.JK,0.6070539772727273,-0.009091056221911309,0
2018-01-12,8200.0,8250.0,8175.0,8175.0,4962.66552734375,15456000,ASII.JK,0.6070538871368502,0.0,0
2018-01-15,8175.0,8200.0,8125.0,8175.0,4962.66552734375,12912900,ASII.JK,0.6070538871368502,0.006116373440393064,1
2018-01-16,8200.0,8250.0,8125.0,8225.0,4993.01904296875,25472200,ASII.JK,0.607053986987082,-0.003039497626715737,0
2018-01-17,8150.0,8300.0,8125.0,8200.0,4977.8427734375,44342900,ASII.JK,0.6070539967606707,0.012195155445684946,1
2018-01-18,8275.0,8300.0,8200.0,8300.0,5038.54833984375,41790200,ASII.JK,0.6070540168486446,0.0060240642771012265,1
2018-01-19,8300.0,8350.0,8250.0,8350.0,5068.90087890625,28789700,ASII.JK,0.6070539974738024,-0.011976080782891363,0
2018-01-22,8350.0,8350.0,8200.0,8250.0,5008.1953125,40680600,ASII.JK,0.6070539772727273,0.03333354782551723,1
2018-01-23,8300.0,8525.0,8250.0,8525.0,5175.13623046875,39074200,ASII.JK,0.6070541032807918,0.02346028217290108,1
2018-01-24,8525.0,8750.0,8450.0,8725.0,5296.54638671875,36840200,ASII.JK,0.6070540271310888,0.0,0
2018-01-25,8675.0,8750.0,8625.0,8725.0,5296.54638671875,27585500,ASII.JK,0.6070540271310888,-0.01146134895721318,0
2018-01-26,8725.0,8725.0,8500.0,8625.0,5235.8408203125,24505100,ASII.JK,0.6070540081521739,0.0028986285743488605,1
2018-01-29,8650.0,8675.0,8500.0,8650.0,5251.017578125,17150200,ASII.JK,0.6070540552745665,-0.026011792357210517,0
2018-01-30,8650.0,8650.0,8400.0,8425.0,5114.42919921875,23643200,ASII.JK,0.6070539108864985,0.008902317671042326,1
2018-01-31,8400.0,8700.0,8375.0,8500.0,5159.95947265625,29112000,ASII.JK,0.6070540556066176,0.00882338719010578,1
2018-02-01,8525.0,8750.0,8525.0,8575.0,5205.48779296875,31700800,ASII.JK,0.6070539700255102,0.014577370505266973,1
2018-02-02,8700.0,8750.0,8625.0,8700.0,5281.3701171875,24482800,ASII.JK,0.6070540364583333,-0.020114834666297376,0
2018-02-05,8500.0,8650.0,8450.0,8525.0,5175.13623046875,23045600,ASII.JK,0.6070541032807918,-0.011730518491974373,0
2018-02-06,8350.0,8475.0,8350.0,8425.0,5114.42919921875,33410900,ASII.JK,0.6070539108864985,0.002967534694989782,1
2018-02-07,8500.0,8600.0,8375.0,8450.0,5129.6064453125,31215400,ASII.JK,0.6070540171967456,-0.008875692332177776,0
2018-02-08,8500.0,8525.0,8350.0,8375.0,5084.07763671875,28406900,ASII.JK,0.6070540461753732,-0.020895602087975473,0
2018-02-09,8250.0,8350.0,8175.0,8200.0,4977.8427734375,64748600,ASII.JK,0.6070539967606707,0.0,0
2018-02-12,8300.0,8300.0,8200.0,8200.0,4977.8427734375,20368800,ASII.JK,0.6070539967606707,0.00914648919793204,1
2018-02-13,8200.0,8300.0,8200.0,8275.0,5023.37255859375,30608200,ASII.JK,0.6070540856306647,0.012084526364891879,1
2018-02-14,8275.0,8375.0,8275.0,8375.0,5084.07763671875,24033700,ASII.JK,0.6070540461753732,-0.011940234288825513,0
2018-02-15,8425.0,8425.0,8275.0,8275.0,5023.37255859375,14832000,ASII.JK,0.6070540856306647,0.018126595143580282,1
2018-02-19,8350.0,8425.0,8300.0,8425.0,5114.42919921875,22998500,ASII.JK,0.6070539108864985,-0.014836623290550466,0
2018-02-20,8350.0,8375.0,8250.0,8300.0,5038.54833984375,17276200,ASII.JK,0.6070540168486446,-0.015060451420091603,0
2018-02-21,8325.0,8350.0,8125.0,8175.0,4962.66552734375,43896000,ASII.JK,0.6070538871368502,-0.021406421523054164,0
2018-02-22,8200.0,8225.0,8000.0,8000.0,4856.4326171875,33253700,ASII.JK,0.6070540771484375,0.0249998642666871,1
2018-02-23,8125.0,8250.0,8100.0,8200.0,4977.8427734375,29457600,ASII.JK,0.6070539967606707,-0.01219505735475035,0
2018-02-26,8200.0,8225.0,8050.0,8100.0,4917.1376953125,23816800,ASII.JK,0.6070540364583333,0.012345612811060835,1
2018-02-27,8100.0,8200.0,8075.0,8200.0,4977.8427734375,23718200,ASII.JK,0.6070539967606707,-0.015243723602503367,0
2018-02-28,8175.0,8175.0,8075.0,8075.0,4901.9619140625,45102600,ASII.JK,0.607054107004644,0.0,0
2018-03-01,8100.0,8175.0,8075.0,8075.0,4901.9619140625,25963100,ASII.JK,0.607054107004644,0.009287775203208115,1
2018-03-02,8075.0,8150.0,8025.0,8150.0,4947.490234375,15833800,ASII.JK,0.60705401648773,0.0,0
2018-03-05,8175.0,8175.0,8075.0,8150.0,4947.490234375,19421500,ASII.JK,0.60705401648773,-0.012270169336962566,0
2018-03-06,8200.0,8200.0,8025.0,8050.0,4886.78369140625,29864500,ASII.JK,0.607053874708851,-0.02795006820952517,0
2018-03-07,8000.0,8025.0,7775.0,7825.0,4750.19775390625,56371600,ASII.JK,0.6070540260583067,0.003194768309913165,1
2018-03-08,7925.0,7925.0,7775.0,7850.0,4765.37353515625,45172700,ASII.JK,0.6070539535230892,-0.00955398773603322,0
2018-03-09,7900.0,7900.0,7750.0,7775.0,4719.84521484375,26855700,ASII.JK,0.6070540469252411,0.0032153133332153416,1
2018-03-12,7850.0,7875.0,7775.0,7800.0,4735.02099609375,34352400,ASII.JK,0.6070539738581731,-0.012820445395084756,0
2018-03-13,7775.0,7775.0,7675.0,7700.0,4674.31591796875,29718200,ASII.JK,0.6070540153206169,-0.016233679748634655,0
2018-03-14,7650.0,7725.0,7575.0,7575.0,4598.4345703125,25878500,ASII.JK,0.6070540686881188,-0.016501879354748117,0
2018-03-15,7525.0,7575.0,7425.0,7450.0,4522.5517578125,38893700,ASII.JK,0.6070539272231543,0.0,0
2018-03-16,7450.0,7525.0,7350.0,7450.0,4522.5517578125,93558800,ASII.JK,0.6070539272231543,-0.023489811152572426,0
2018-03-19,7450.0,7475.0,7250.0,7275.0,4416.31787109375,44260000,ASII.JK,0.6070540028994845,0.003436407879646497,1
2018-03-20,7225.0,7350.0,7200.0,7300.0,4431.494140625,53047800,ASII.JK,0.6070539918664384,0.0,0
2018-03-21,7350.0,7350.0,7275.0,7300.0,4431.494140625,41451100,ASII.JK,0.6070539918664384,0.00684927884350528,1
2018-03-22,7350.0,7450.0,7325.0,7350.0,4461.8466796875,40302400,ASII.JK,0.6070539700255102,-0.010204028031940093,0
2018-03-23,7050.0,7275.0,7050.0,7275.0,4416.31787109375,38206300,ASII.JK,0.6070540028994845,-0.00687303688524632,0
2018-03-26,7275.0,7275.0,7175.0,7225.0,4385.96435546875,22640900,ASII.JK,0.6070538900302768,0.01038079233349909,1
2018-03-27,7300.0,7375.0,7250.0,7300.0,4431.494140625,24060300,ASII.JK,0.6070539918664384,-0.027397445927035968,0
2018-03-28,7225.0,7250.0,7075.0,7100.0,4310.08251953125,32341200,ASII.JK,0.6070538759903169,0.028169210344249906,1
2018-03-29,7175.0,7325.0,7050.0,7300.0,4431.494140625,40859700,ASII.JK,0.6070539918664384,0.03424661458620282,1
2018-04-02,7350.0,7600.0,7300.0,7550.0,4583.2578125,30899400,ASII.JK,0.6070540149006622,0.016556203198802688,1
2018-04-03,7500.0,7750.0,7450.0,7675.0,4659.13916015625,30007800,ASII.JK,0.607053962235342,-0.013029142886067824,0
2018-04-04,7675.0,7675.0,7475.0,7575.0,4598.4345703125,22563400,ASII.JK,0.6070540686881188,0.003300205976175974,1
2018-04-05,7625.0,7650.0,7475.0,7600.0,4613.6103515625,16561500,ASII.JK,0.6070539936266447,-0.009868368831436047,0
2018-04-06,7600.0,7600.0,7525.0,7525.0,4568.08154296875,8268700,ASII.JK,0.6070540256436877,0.029900279313694877,1
2018-04-09,7550.0,7750.0,7550.0,7750.0,4704.66845703125,17097200,ASII.JK,0.6070539944556451,0.009677471917698188,1
2018-04-10,7700.0,7850.0,7675.0,7825.0,4750.19775390625,27654600,ASII.JK,0.6070540260583067,0.015974458300204386,1
2018-04-11,7875.0,7975.0,7850.0,7950.0,4826.07958984375,34716800,ASII.JK,0.6070540364583333,-0.02830183620467852,0
2018-04-12,7850.0,7925.0,7700.0,7725.0,4689.49267578125,26558600,ASII.JK,0.6070540680622978,-0.025890035704613457,0
2018-04-13,7750.0,7825.0,7525.0,7525.0,4568.08154296875,17816300,ASII.JK,0.6070540256436877,0.0,0
2018-04-18,7625.0,7625.0,7475.0,7525.0,4568.08154296875,23356500,ASII.JK,0.6070540256436877,-0.0066446965404373115,0
2018-04-23,7600.0,7600.0,7475.0,7475.0,4537.72802734375,12648900,ASII.JK,0.607053916701505,-0.020066570776455683,0
2018-04-24,7400.0,7475.0,7300.0,7325.0,4446.67138671875,33995200,ASII.JK,0.6070541142278157,-0.02389109304570014,0
2018-04-30,7275.0,7300.0,7150.0,7150.0,4340.435546875,20489400,ASII.JK,0.6070539226398601,0.03146859361662213,1
2018-05-02,7200.0,7375.0,7150.0,7375.0,4477.02294921875,28029500,ASII.JK,0.6070539592161017,-0.013559251049984677,0
2018-05-03,7375.0,7400.0,7275.0,7275.0,4416.31787109375,38116700,ASII.JK,0.6070540028994845,0.014695588614622723,1
2018-05-04,7200.0,7300.0,7125.0,7250.0,4481.21826171875,20155100,ASII.JK,0.6180990705818965,-0.024137962971538696,0
2018-05-07,7300.0,7300.0,7050.0,7075.0,4373.05078125,24167400,ASII.JK,0.6180990503533569,-0.017667581359909423,0
2018-05-08,7075.0,7100.0,6825.0,6950.0,4295.78955078125,45877500,ASII.JK,0.6180992159397481,0.021582497487717678,1
2018-05-09,6800.0,7125.0,6800.0,7100.0,4388.50341796875,51249600,ASII.JK,0.6180990729533451,-0.007042215127305185,0
2018-05-11,7150.0,7200.0,7050.0,7050.0,4357.5986328125,21370800,ASII.JK,0.6180990968528369,-0.003546135847021903,0
2018-05-14,6950.0,7100.0,6950.0,7025.0,4342.14599609375,28081600,ASII.JK,0.6180990741770462,-0.014234910260814582,0
2018-05-15,7025.0,7100.0,6925.0,6925.0,4280.3359375,30656400,ASII.JK,0.6180990523465704,-0.0036099176283987955,0
2018-05-16,6900.0,6925.0,6650.0,6900.0,4264.88427734375,39298500,ASII.JK,0.618099170629529,-0.02536246278113996,0
2018-05-17,6900.0,6925.0,6725.0,6725.0,4156.71630859375,31996300,ASII.JK,0.6180990793447956,-0.029739790707222102,0
2018-05-18,6800.0,6800.0,6525.0,6525.0,4033.096435546875,32946300,ASII.JK,0.6180990705818965,0.0,0
2018-05-21,6600.0,6675.0,6525.0,6525.0,4033.096435546875,19666000,ASII.JK,0.6180990705818965,0.06513435010357105,1
2018-05-22,6575.0,7000.0,6550.0,6950.0,4295.78955078125,52564600,ASII.JK,0.6180992159397481,0.007193976387444234,1
2018-05-23,7000.0,7225.0,6950.0,7000.0,4326.693359375,46432300,ASII.JK,0.6180990513392857,0.03214273945307711,1
2018-05-24,7150.0,7300.0,7125.0,7225.0,4465.76513671875,31517700,ASII.JK,0.6180989808607267,0.003460353271366623,1
2018-05-25,7275.0,7275.0,7050.0,7250.0,4481.21826171875,23149300,ASII.JK,0.6180990705818965,-0.01034471674583648,0
2018-05-28,7100.0,7300.0,7100.0,7175.0,4434.861328125,20768800,ASII.JK,0.6180991398083624,-0.024390383542326477,0
2018-05-30,7125.0,7200.0,6950.0,7000.0,4326.693359375,38264900,ASII.JK,0.6180990513392857,-0.01428552404743988,0
2018-05-31,7075.0,7150.0,6850.0,6900.0,4264.88427734375,99330400,ASII.JK,0.618099170629529,0.014492557830841246,1
2018-06-04,7050.0,7100.0,6975.0,7000.0,4326.693359375,29071700,ASII.JK,0.6180990513392857,0.0,0
2018-06-05,6950.0,7050.0,6950.0,7000.0,4326.693359375,32973400,ASII.JK,0.6180990513392857,-0.0035715785049837967,0
2018-06-06,7000.0,7025.0,6950.0,6975.0,4311.240234375,27978000,ASII.JK,0.6180989583333333,0.0,0
2018-06-07,7000.0,7025.0,6950.0,6975.0,4311.240234375,34005400,ASII.JK,0.6180989583333333,-0.010752348398875622,0
2018-06-08,6875.0,6975.0,6875.0,6900.0,4264.88427734375,82723800,ASII.JK,0.618099170629529,0.007246450648538572,1
2018-06-20,6850.0,6950.0,6625.0,6950.0,4295.78955078125,94750500,ASII.JK,0.6180992159397481,-0.03956874560471357,0
2018-06-21,7100.0,7100.0,6675.0,6675.0,4125.810546875,40710000,ASII.JK,0.6180989583333333,-0.011235718360265379,0
2018-06-22,6675.0,6675.0,6575.0,6600.0,4079.4541015625,30220100,ASII.JK,0.6180991062973484,0.0,0
2018-06-25,6700.0,6725.0,6575.0,6600.0,4079.4541015625,35216300,ASII.JK,0.6180991062973484,0.015151551422058152,1
2018-06-26,6550.0,6800.0,6550.0,6700.0,4141.26416015625,21592800,ASII.JK,0.6180991283815298,-0.041044843431597644,0
2018-06-27,6725.0,6750.0,6425.0,6425.0,3971.28662109375,26041600,ASII.JK,0.6180990849951362,-0.011673149358892743,0
2018-06-28,6425.0,6475.0,6275.0,6350.0,3924.92919921875,47122000,ASII.JK,0.6180990864911418,0.03937011204546259,1
2018-06-29,6400.0,6600.0,6375.0,6600.0,4079.4541015625,44077400,ASII.JK,0.6180991062973484,-0.05303025043801579,0
2018-07-02,6650.0,6650.0,6250.0,6250.0,3863.11962890625,30044400,ASII.JK,0.618099140625,-0.02400018251521896,0
2018-07-03,6250.0,6400.0,6100.0,6100.0,3770.404052734375,31918600,ASII.JK,0.6180990250384222,0.024590355536201924,1
2018-07-04,6175.0,6425.0,6125.0,6250.0,3863.11962890625,26706500,ASII.JK,0.618099140625,0.00799995550875554,1
2018-07-05,6200.0,6375.0,6200.0,6300.0,3894.0244140625,10071000,ASII.JK,0.618099113343254,0.0,0
2018-07-06,6375.0,6375.0,6250.0,6300.0,3894.0244140625,12516100,ASII.JK,0.618099113343254,0.00396823207433461,1
2018-07-09,6350.0,6400.0,6250.0,6325.0,3909.476806640625,17337000,ASII.JK,0.6180990998641305,0.003952547448773158,1
2018-07-10,6450.0,6550.0,6350.0,6350.0,3924.92919921875,36086900,ASII.JK,0.6180990864911418,0.04330703616643161,1
2018-07-11,6300.0,6625.0,6275.0,6625.0,4094.90625,29415100,ASII.JK,0.6180990566037736,0.007547009623236178,1
2018-07-12,6575.0,6700.0,6550.0,6675.0,4125.810546875,22465500,ASII.JK,0.6180989583333333,0.01872678900689495,1
2018-07-13,6750.0,6825.0,6650.0,6800.0,4203.07373046875,27647800,ASII.JK,0.6180990780101103,-0.014705802057297435,0
2018-07-16,6700.0,6725.0,6550.0,6700.0,4141.26416015625,16831500,ASII.JK,0.6180991283815298,-0.011194144677431295,0
2018-07-17,6550.0,6675.0,6500.0,6625.0,4094.90625,15901500,ASII.JK,0.6180990566037736,0.003773504811618089,1
2018-07-18,6700.0,6750.0,6575.0,6650.0,4110.3583984375,19002100,ASII.JK,0.6180990072838346,0.007518994385136368,1
2018-07-19,6650.0,6750.0,6650.0,6700.0,4141.26416015625,27562100,ASII.JK,0.6180991283815298,-0.0037316173717996115,0
2018-07-20,6700.0,6750.0,6575.0,6675.0,4125.810546875,22005400,ASII.JK,0.6180989583333333,0.0,0
2018-07-23,6750.0,6750.0,6675.0,6675.0,4125.810546875,13735600,ASII.JK,0.6180989583333333,-0.003745239453421756,0
