date,open,high,low,close,adj_close,volume,ticker,adj_factor
2018-01-02,4430.0,4460.0,4380.0,4410.0,2739.1123046875,66075600,TLKM.JK,0.6211139012896826
2018-01-03,4380.0,4380.0,4200.0,4230.0,2627.311767578125,129205000,TLKM.JK,0.621113893044474
2018-01-04,4230.0,4250.0,4190.0,4220.0,2621.1005859375,77953300,TLKM.JK,0.6211138829235782
2018-01-05,4220.0,4280.0,4200.0,4280.0,2658.367431640625,55863000,TLKM.JK,0.6211138858973423
2018-01-08,4250.0,4290.0,4250.0,4260.0,2645.945068359375,42916700,TLKM.JK,0.6211138658120599
2018-01-09,4240.0,4240.0,4180.0,4200.0,2608.678466796875,100497400,TLKM.JK,0.6211139206659226
2018-01-10,4200.0,4250.0,4180.0,4190.0,2602.467041015625,95004000,TLKM.JK,0.6211138522710322
2018-01-11,4200.0,4200.0,4150.0,4170.0,2590.044677734375,80524900,TLKM.JK,0.6211138315909772
2018-01-12,4160.0,4190.0,4130.0,4130.0,2565.200439453125,70976800,TLKM.JK,0.6211139078578995
2018-01-15,4160.0,4170.0,4100.0,4120.0,2558.9892578125,71388000,TLKM.JK,0.6211138975273058
2018-01-16,4150.0,4220.0,4120.0,4210.0,2614.889404296875,84393300,TLKM.JK,0.6211138727546022
2018-01-17,4210.0,4220.0,4180.0,4200.0,2608.678466796875,77197700,TLKM.JK,0.6211139206659226
2018-01-18,4210.0,4240.0,4160.0,4170.0,2590.044677734375,100089500,TLKM.JK,0.6211138315909772
2018-01-19,4190.0,4190.0,4120.0,4160.0,2583.833740234375,70890100,TLKM.JK,0.6211138798640324
2018-01-22,4120.0,4160.0,4120.0,4130.0,2565.200439453125,83090400,TLKM.JK,0.6211139078578995
2018-01-23,4160.0,4160.0,4030.0,4090.0,2540.355712890625,184176500,TLKM.JK,0.6211138662324267
2018-01-24,4090.0,4090.0,3970.0,3980.0,2472.033203125,241779600,TLKM.JK,0.6211138701319096
2018-01-25,3980.0,4020.0,3920.0,3970.0,2465.822265625,232552500,TLKM.JK,0.6211139208123426
2018-01-26,3990.0,4160.0,3990.0,4150.0,2577.622802734375,246067800,TLKM.JK,0.6211139283697289
2018-01-29,4170.0,4180.0,4030.0,4070.0,2527.93359375,156356300,TLKM.JK,0.6211139050982801
2018-01-30,4020.0,4040.0,3960.0,3970.0,2465.822265625,140694300,TLKM.JK,0.6211139208123426
