date,open,high,low,close,adj_close,volume,ticker,adj_factor
2018-02-07,8500.0,8600.0,8375.0,8450.0,5129.6064453125,31215400,ASII.JK,0.6070540171967456
2018-02-08,8500.0,8525.0,8350.0,8375.0,5084.07763671875,28406900,ASII.JK,0.6070540461753732
2018-02-09,8250.0,8350.0,8175.0,8200.0,4977.8427734375,64748600,ASII.JK,0.6070539967606707
2018-02-12,8300.0,8300.0,8200.0,8200.0,4977.8427734375,20368800,ASII.JK,0.6070539967606707
2018-02-13,8200.0,8300.0,8200.0,8275.0,5023.37255859375,30608200,ASII.JK,0.6070540856306647
2018-02-14,8275.0,8375.0,8275.0,8375.0,5084.07763671875,24033700,ASII.JK,0.6070540461753732
2018-02-15,8425.0,8425.0,8275.0,8275.0,5023.37255859375,14832000,ASII.JK,0.6070540856306647
2018-02-19,8350.0,8425.0,8300.0,8425.0,5114.42919921875,22998500,ASII.JK,0.6070539108864985
2018-02-20,8350.0,8375.0,8250.0,8300.0,5038.54833984375,17276200,ASII.JK,0.6070540168486446
2018-02-21,8325.0,8350.0,8125.0,8175.0,4962.66552734375,43896000,ASII.JK,0.6070538871368502
2018-02-22,8200.0,8225.0,8000.0,8000.0,4856.4326171875,33253700,ASII.JK,0.6070540771484375
2018-02-23,8125.0,8250.0,8100.0,8200.0,4977.8427734375,29457600,ASII.JK,0.6070539967606707
2018-02-26,8200.0,8225.0,8050.0,8100.0,4917.1376953125,23816800,ASII.JK,0.6070540364583333
2018-02-27,8100.0,8200.0,8075.0,8200.0,4977.8427734375,23718200,ASII.JK,0.6070539967606707
2018-02-28,8175.0,8175.0,8075.0,8075.0,4901.9619140625,45102600,ASII.JK,0.607054107004644
2018-03-01,8100.0,8175.0,8075.0,8075.0,4901.9619140625,25963100,ASII.JK,0.607054107004644
2018-03-02,8075.0,8150.0,8025.0,8150.0,4947.490234375,15833800,ASII.JK,0.60705401648773
2018-03-05,8175.0,8175.0,8075.0,8150.0,4947.490234375,19421500,ASII.JK,0.60705401648773
2018-03-06,8200.0,8200.0,8025.0,8050.0,4886.78369140625,29864500,ASII.JK,0.607053874708851
2018-03-07,8000.0,8025.0,7775.0,7825.0,4750.19775390625,56371600,ASII.JK,0.6070540260583067
2018-03-08,7925.0,7925.0,7775.0,7850.0,4765.37353515625,45172700,ASII.JK,0.6070539535230892
2018-03-09,7900.0,7900.0,7750.0,7775.0,4719.84521484375,26855700,ASII.JK,0.6070540469252411
2018-03-12,7850.0,7875.0,7775.0,7800.0,4735.02099609375,34352400,ASII.JK,0.6070539738581731
2018-03-13,7775.0,7775.0,7675.0,7700.0,4674.31591796875,29718200,ASII.JK,0.6070540153206169
2018-03-14,7650.0,7725.0,7575.0,7575.0,4598.4345703125,25878500,ASII.JK,0.6070540686881188
2018-03-15,7525.0,7575.0,7425.0,7450.0,4522.5517578125,38893700,ASII.JK,0.6070539272231543
2018-03-16,7450.0,7525.0,7350.0,7450.0,4522.5517578125,93558800,ASII.JK,0.6070539272231543
2018-03-19,7450.0,7475.0,7250.0,7275.0,4416.31787109375,44260000,ASII.JK,0.6070540028994845
2018-03-20,7225.0,7350.0,7200.0,7300.0,4431.494140625,53047800,ASII.JK,0.6070539918664384
2018-03-21,7350.0,7350.0,7275.0,7300.0,4431.494140625,41451100,ASII.JK,0.6070539918664384
2018-03-22,7350.0,7450.0,7325.0,7350.0,4461.8466796875,40302400,ASII.JK,0.6070539700255102
2018-03-23,7050.0,7275.0,7050.0,7275.0,4416.31787109375,38206300,ASII.JK,0.6070540028994845
2018-03-26,7275.0,7275.0,7175.0,7225.0,4385.96435546875,22640900,ASII.JK,0.6070538900302768
2018-03-27,7300.0,7375.0,7250.0,7300.0,4431.494140625,24060300,ASII.JK,0.6070539918664384
2018-03-28,7225.0,7250.0,7075.0,7100.0,4310.08251953125,32341200,ASII.JK,0.6070538759903169
2018-03-29,7175.0,7325.0,7050.0,7300.0,4431.494140625,40859700,ASII.JK,0.6070539918664384
2018-04-02,7350.0,7600.0,7300.0,7550.0,4583.2578125,30899400,ASII.JK,0.6070540149006622
2018-04-03,7500.0,7750.0,7450.0,7675.0,4659.13916015625,30007800,ASII.JK,0.607053962235342
2018-04-04,7675.0,7675.0,7475.0,7575.0,4598.4345703125,22563400,ASII.JK,0.6070540686881188
2018-04-05,7625.0,7650.0,7475.0,7600.0,4613.6103515625,16561500,ASII.JK,0.6070539936266447
2018-04-06,7600.0,7600.0,7525.0,7525.0,4568.08154296875,8268700,ASII.JK,0.6070540256436877
2018-04-09,7550.0,7750.0,7550.0,7750.0,4704.66845703125,17097200,ASII.JK,0.6070539944556451
2018-04-10,7700.0,7850.0,7675.0,7825.0,4750.19775390625,27654600,ASII.JK,0.6070540260583067
2018-04-11,7875.0,7975.0,7850.0,7950.0,4826.07958984375,34716800,ASII.JK,0.6070540364583333
2018-04-12,7850.0,7925.0,7700.0,7725.0,4689.49267578125,26558600,ASII.JK,0.6070540680622978
2018-04-13,7750.0,7825.0,7525.0,7525.0,4568.08154296875,17816300,ASII.JK,0.6070540256436877
